origin_city,dest_city,origin_airport,dest_airport,departure,arrival,airline,operated_by,duration,stops,co2,emissions_vs_avg,price
AUS,BNA,AUS,BNA,6:40 AM,8:45 AM,Southwest,,2 hr 5 min,Nonstop,122 kg CO2e,-34% emissions,$119
AUS,BNA,AUS,BNA,8:15 AM,10:20 AM,Southwest,,2 hr 5 min,Nonstop,122 kg CO2e,-34% emissions,$119
AUS,BNA,AUS,BNA,8:54 AM,11:08 AM,Delta,SkyWest DBA Delta Connection,2 hr 14 min,Nonstop,152 kg CO2e,-18% emissions,$119
AUS,BNA,AUS,BNA,1:40 PM,3:45 PM,Southwest,,2 hr 5 min,Nonstop,108 kg CO2e,-42% emissions,$200
AUS,BNA,AUS,BNA,3:11 PM,5:40 PM,Delta,SkyWest DBA Delta Connection,2 hr 29 min,Nonstop,152 kg CO2e,-18% emissions,$119
AUS,BNA,AUS,BNA,3:30 PM,5:35 PM,Southwest,,2 hr 5 min,Nonstop,108 kg CO2e,-42% emissions,$228
AUS,BNA,AUS,BNA,5:25 PM,7:30 PM,Southwest,,2 hr 5 min,Nonstop,108 kg CO2e,-42% emissions,$190
AUS,BNA,AUS,BNA,6:35 PM,8:51 PM,Delta,SkyWest DBA Delta Connection,2 hr 16 min,Nonstop,152 kg CO2e,-18% emissions,$119
AUS,BNA,AUS,BNA,10:30 PM,12:35 AM+1,Southwest,,2 hr 5 min,Nonstop,108 kg CO2e,-42% emissions,$119
AUS,CHS,AUS,CHS,12:20 PM,3:50 PM,Southwest,,2 hr 30 min,Nonstop,149 kg CO2e,-26% emissions,$225
AUS,NYC,AUS,JFK,6:09 AM,11:00 AM,American,,3 hr 51 min,Nonstop,170 kg CO2e,-33% emissions,$169
AUS,NYC,AUS,JFK,7:30 AM,12:19 PM,Delta,,3 hr 49 min,Nonstop,207 kg CO2e,-18% emissions,$349
AUS,NYC,AUS,EWR,8:00 AM,12:49 PM,United,,3 hr 49 min,Nonstop,234 kg CO2e,-7% emissions,$425
AUS,NYC,AUS,EWR,9:25 AM,1:54 PM,Spirit,,3 hr 29 min,Nonstop,200 kg CO2e,-21% emissions,$209
AUS,NYC,AUS,EWR,10:40 AM,3:28 PM,United,,3 hr 48 min,Nonstop,168 kg CO2e,-33% emissions,$425
AUS,NYC,AUS,JFK,11:20 AM,4:19 PM,Delta,,3 hr 59 min,Nonstop,177 kg CO2e,-30% emissions,$539
AUS,NYC,AUS,JFK,11:50 AM,4:43 PM,American,,3 hr 53 min,Nonstop,170 kg CO2e,-33% emissions,$486
AUS,NYC,AUS,EWR,3:44 PM,8:30 PM,United,,3 hr 46 min,Nonstop,201 kg CO2e,-20% emissions,$425
AUS,NYC,AUS,JFK,3:55 PM,9:01 PM,Delta,,4 hr 6 min,Nonstop,207 kg CO2e,-18% emissions,$439
AUS,NYC,AUS,JFK,5:03 PM,9:59 PM,American,,3 hr 56 min,Nonstop,201 kg CO2e,-20% emissions,$314
AUS,NYC,AUS,EWR,5:43 PM,10:30 PM,United,,3 hr 47 min,Nonstop,168 kg CO2e,-33% emissions,$425
