route,total_price,total_flight_time,total_flight_minutes,leg1_flight,leg1_airline,leg1_departure,leg1_arrival,leg1_price,leg1_duration,leg2_flight,leg2_airline,leg2_departure,leg2_arrival,leg2_price,leg2_duration,leg3_flight,leg3_airline,leg3_departure,leg3_arrival,leg3_price,leg3_duration
AUS → ORD → NYC → CHS,317,7h 26m,446,AUS→ORD,American,6:42 AM,9:35 AM,$129,2 hr 53 min,ORD→EWR,Spirit,12:47 PM,3:54 PM,$99,2 hr 7 min,LGA→CHS,American,6:30 PM,8:56 PM,$89,2 hr 26 min
AUS → ORD → NYC → CHS,327,7h 23m,443,AUS→ORD,American,6:42 AM,9:35 AM,$129,2 hr 53 min,ORD→EWR,Spirit,12:47 PM,3:54 PM,$99,2 hr 7 min,LGA→CHS,Delta,7:00 PM,9:23 PM,$99,2 hr 23 min
AUS → ORD → NYC → CHS,327,7h 30m,450,AUS→ORD,American,6:42 AM,9:35 AM,$129,2 hr 53 min,ORD→LGA,Spirit,2:09 PM,5:20 PM,$109,2 hr 11 min,LGA→CHS,American,6:30 PM,8:56 PM,$89,2 hr 26 min
AUS → ORD → NYC → CHS,337,7h 15m,435,AUS→ORD,American,6:42 AM,9:35 AM,$129,2 hr 53 min,ORD→EWR,Spirit,12:47 PM,3:54 PM,$99,2 hr 7 min,EWR→CHS,United,9:44 PM,11:59 PM,$109,2 hr 15 min
AUS → ORD → NYC → CHS,337,7h 27m,447,AUS→ORD,American,6:42 AM,9:35 AM,$129,2 hr 53 min,ORD→LGA,Spirit,2:09 PM,5:20 PM,$109,2 hr 11 min,LGA→CHS,Delta,7:00 PM,9:23 PM,$99,2 hr 23 min
AUS → ORD → NYC → CHS,347,7h 19m,439,AUS→ORD,American,6:42 AM,9:35 AM,$129,2 hr 53 min,ORD→LGA,Spirit,2:09 PM,5:20 PM,$109,2 hr 11 min,EWR→CHS,United,9:44 PM,11:59 PM,$109,2 hr 15 min
AUS → ORD → NYC → CHS,354,7h 11m,431,AUS→ORD,American,6:42 AM,9:35 AM,$129,2 hr 53 min,ORD→EWR,Spirit,12:47 PM,3:54 PM,$99,2 hr 7 min,EWR→CHS,United,4:30 PM,6:41 PM,$126,2 hr 11 min
BNA → ORD → NYC → CHS,357,6h 25m,385,BNA→ORD,American,5:00 AM,6:52 AM,$169,1 hr 52 min,ORD→EWR,Spirit,12:47 PM,3:54 PM,$99,2 hr 7 min,LGA→CHS,American,6:30 PM,8:56 PM,$89,2 hr 26 min
BNA → ORD → NYC → CHS,357,6h 44m,404,BNA→ORD,American,6:42 AM,8:53 AM,$169,2 hr 11 min,ORD→EWR,Spirit,12:47 PM,3:54 PM,$99,2 hr 7 min,LGA→CHS,American,6:30 PM,8:56 PM,$89,2 hr 26 min
BNA → ORD → NYC → CHS,367,6h 22m,382,BNA→ORD,American,5:00 AM,6:52 AM,$169,1 hr 52 min,ORD→EWR,Spirit,12:47 PM,3:54 PM,$99,2 hr 7 min,LGA→CHS,Delta,7:00 PM,9:23 PM,$99,2 hr 23 min
BNA → ORD → NYC → CHS,367,6h 29m,389,BNA→ORD,American,5:00 AM,6:52 AM,$169,1 hr 52 min,ORD→LGA,Spirit,2:09 PM,5:20 PM,$109,2 hr 11 min,LGA→CHS,American,6:30 PM,8:56 PM,$89,2 hr 26 min
BNA → ORD → NYC → CHS,367,6h 26m,386,BNA→ORD,United,6:00 AM,7:53 AM,$179,1 hr 53 min,ORD→EWR,Spirit,12:47 PM,3:54 PM,$99,2 hr 7 min,LGA→CHS,American,6:30 PM,8:56 PM,$89,2 hr 26 min
BNA → ORD → NYC → CHS,367,6h 41m,401,BNA→ORD,American,6:42 AM,8:53 AM,$169,2 hr 11 min,ORD→EWR,Spirit,12:47 PM,3:54 PM,$99,2 hr 7 min,LGA→CHS,Delta,7:00 PM,9:23 PM,$99,2 hr 23 min
BNA → ORD → NYC → CHS,367,6h 48m,408,BNA→ORD,American,6:42 AM,8:53 AM,$169,2 hr 11 min,ORD→LGA,Spirit,2:09 PM,5:20 PM,$109,2 hr 11 min,LGA→CHS,American,6:30 PM,8:56 PM,$89,2 hr 26 min
BNA → ORD → NYC → CHS,367,6h 26m,386,BNA→ORD,United,7:35 AM,9:28 AM,$179,1 hr 53 min,ORD→EWR,Spirit,12:47 PM,3:54 PM,$99,2 hr 7 min,LGA→CHS,American,6:30 PM,8:56 PM,$89,2 hr 26 min
BNA → ORD → NYC → CHS,377,6h 14m,374,BNA→ORD,American,5:00 AM,6:52 AM,$169,1 hr 52 min,ORD→EWR,Spirit,12:47 PM,3:54 PM,$99,2 hr 7 min,EWR→CHS,United,9:44 PM,11:59 PM,$109,2 hr 15 min
BNA → ORD → NYC → CHS,377,6h 26m,386,BNA→ORD,American,5:00 AM,6:52 AM,$169,1 hr 52 min,ORD→LGA,Spirit,2:09 PM,5:20 PM,$109,2 hr 11 min,LGA→CHS,Delta,7:00 PM,9:23 PM,$99,2 hr 23 min
BNA → ORD → NYC → CHS,377,6h 23m,383,BNA→ORD,United,6:00 AM,7:53 AM,$179,1 hr 53 min,ORD→EWR,Spirit,12:47 PM,3:54 PM,$99,2 hr 7 min,LGA→CHS,Delta,7:00 PM,9:23 PM,$99,2 hr 23 min
BNA → ORD → NYC → CHS,377,6h 30m,390,BNA→ORD,United,6:00 AM,7:53 AM,$179,1 hr 53 min,ORD→LGA,Spirit,2:09 PM,5:20 PM,$109,2 hr 11 min,LGA→CHS,American,6:30 PM,8:56 PM,$89,2 hr 26 min
BNA → ORD → NYC → CHS,377,6h 33m,393,BNA→ORD,American,6:42 AM,8:53 AM,$169,2 hr 11 min,ORD→EWR,Spirit,12:47 PM,3:54 PM,$99,2 hr 7 min,EWR→CHS,United,9:44 PM,11:59 PM,$109,2 hr 15 min
BNA → ORD → NYC → CHS,377,6h 45m,405,BNA→ORD,American,6:42 AM,8:53 AM,$169,2 hr 11 min,ORD→LGA,Spirit,2:09 PM,5:20 PM,$109,2 hr 11 min,LGA→CHS,Delta,7:00 PM,9:23 PM,$99,2 hr 23 min
BNA → ORD → NYC → CHS,377,6h 23m,383,BNA→ORD,United,7:35 AM,9:28 AM,$179,1 hr 53 min,ORD→EWR,Spirit,12:47 PM,3:54 PM,$99,2 hr 7 min,LGA→CHS,Delta,7:00 PM,9:23 PM,$99,2 hr 23 min
BNA → ORD → NYC → CHS,377,6h 30m,390,BNA→ORD,United,7:35 AM,9:28 AM,$179,1 hr 53 min,ORD→LGA,Spirit,2:09 PM,5:20 PM,$109,2 hr 11 min,LGA→CHS,American,6:30 PM,8:56 PM,$89,2 hr 26 min
BNA → ORD → NYC → CHS,387,6h 18m,378,BNA→ORD,American,5:00 AM,6:52 AM,$169,1 hr 52 min,ORD→LGA,Spirit,2:09 PM,5:20 PM,$109,2 hr 11 min,EWR→CHS,United,9:44 PM,11:59 PM,$109,2 hr 15 min
BNA → ORD → NYC → CHS,387,6h 15m,375,BNA→ORD,United,6:00 AM,7:53 AM,$179,1 hr 53 min,ORD→EWR,Spirit,12:47 PM,3:54 PM,$99,2 hr 7 min,EWR→CHS,United,9:44 PM,11:59 PM,$109,2 hr 15 min
BNA → ORD → NYC → CHS,387,6h 27m,387,BNA→ORD,United,6:00 AM,7:53 AM,$179,1 hr 53 min,ORD→LGA,Spirit,2:09 PM,5:20 PM,$109,2 hr 11 min,LGA→CHS,Delta,7:00 PM,9:23 PM,$99,2 hr 23 min
BNA → ORD → NYC → CHS,387,6h 37m,397,BNA→ORD,American,6:42 AM,8:53 AM,$169,2 hr 11 min,ORD→LGA,Spirit,2:09 PM,5:20 PM,$109,2 hr 11 min,EWR→CHS,United,9:44 PM,11:59 PM,$109,2 hr 15 min
BNA → ORD → NYC → CHS,387,6h 15m,375,BNA→ORD,United,7:35 AM,9:28 AM,$179,1 hr 53 min,ORD→EWR,Spirit,12:47 PM,3:54 PM,$99,2 hr 7 min,EWR→CHS,United,9:44 PM,11:59 PM,$109,2 hr 15 min
BNA → ORD → NYC → CHS,387,6h 27m,387,BNA→ORD,United,7:35 AM,9:28 AM,$179,1 hr 53 min,ORD→LGA,Spirit,2:09 PM,5:20 PM,$109,2 hr 11 min,LGA→CHS,Delta,7:00 PM,9:23 PM,$99,2 hr 23 min
CHS → ORD → NYC → BNA,388,7h 27m,447,CHS→ORD,American,7:07 AM,8:47 AM,$195,2 hr 40 min,ORD→EWR,Spirit,12:47 PM,3:54 PM,$99,2 hr 7 min,LGA→BNA,Southwest,9:25 PM,11:05 PM,$94,2 hr 40 min
AUS → ORD → NYC → CHS,390,7h 23m,443,AUS→ORD,United,7:00 AM,9:50 AM,$202,2 hr 50 min,ORD→EWR,Spirit,12:47 PM,3:54 PM,$99,2 hr 7 min,LGA→CHS,American,6:30 PM,8:56 PM,$89,2 hr 26 min
BNA → ORD → NYC → CHS,394,6h 10m,370,BNA→ORD,American,5:00 AM,6:52 AM,$169,1 hr 52 min,ORD→EWR,Spirit,12:47 PM,3:54 PM,$99,2 hr 7 min,EWR→CHS,United,4:30 PM,6:41 PM,$126,2 hr 11 min
BNA → ORD → NYC → CHS,394,6h 29m,389,BNA→ORD,American,6:42 AM,8:53 AM,$169,2 hr 11 min,ORD→EWR,Spirit,12:47 PM,3:54 PM,$99,2 hr 7 min,EWR→CHS,United,4:30 PM,6:41 PM,$126,2 hr 11 min
AUS → ORD → NYC → CHS,396,7h 30m,450,AUS→ORD,American,10:56 AM,1:49 PM,$198,2 hr 53 min,ORD→LGA,Spirit,2:09 PM,5:20 PM,$109,2 hr 11 min,LGA→CHS,American,6:30 PM,8:56 PM,$89,2 hr 26 min
BNA → ORD → NYC → CHS,397,6h 37m,397,BNA→ORD,American,5:00 AM,6:52 AM,$169,1 hr 52 min,ORD→LGA,American,7:00 AM,10:16 AM,$139,2 hr 16 min,LGA→CHS,American,2:04 PM,4:33 PM,$89,2 hr 29 min
BNA → ORD → NYC → CHS,397,6h 34m,394,BNA→ORD,American,5:00 AM,6:52 AM,$169,1 hr 52 min,ORD→LGA,American,7:00 AM,10:16 AM,$139,2 hr 16 min,LGA→CHS,American,6:30 PM,8:56 PM,$89,2 hr 26 min
BNA → ORD → NYC → CHS,397,6h 37m,397,BNA→ORD,American,5:00 AM,6:52 AM,$169,1 hr 52 min,ORD→LGA,Delta,7:05 AM,10:21 AM,$139,2 hr 16 min,LGA→CHS,American,2:04 PM,4:33 PM,$89,2 hr 29 min
BNA → ORD → NYC → CHS,397,6h 34m,394,BNA→ORD,American,5:00 AM,6:52 AM,$169,1 hr 52 min,ORD→LGA,Delta,7:05 AM,10:21 AM,$139,2 hr 16 min,LGA→CHS,American,6:30 PM,8:56 PM,$89,2 hr 26 min
BNA → ORD → NYC → CHS,397,6h 19m,379,BNA→ORD,United,6:00 AM,7:53 AM,$179,1 hr 53 min,ORD→LGA,Spirit,2:09 PM,5:20 PM,$109,2 hr 11 min,EWR→CHS,United,9:44 PM,11:59 PM,$109,2 hr 15 min
BNA → ORD → NYC → CHS,397,6h 19m,379,BNA→ORD,United,7:35 AM,9:28 AM,$179,1 hr 53 min,ORD→LGA,Spirit,2:09 PM,5:20 PM,$109,2 hr 11 min,EWR→CHS,United,9:44 PM,11:59 PM,$109,2 hr 15 min
CHS → ORD → NYC → BNA,398,7h 31m,451,CHS→ORD,American,7:07 AM,8:47 AM,$195,2 hr 40 min,ORD→LGA,Spirit,2:09 PM,5:20 PM,$109,2 hr 11 min,LGA→BNA,Southwest,9:25 PM,11:05 PM,$94,2 hr 40 min
BNA → ORD → NYC → CHS,398,6h 27m,387,BNA→ORD,Southwest,11:00 AM,12:50 PM,$200,1 hr 50 min,ORD→LGA,Spirit,2:09 PM,5:20 PM,$109,2 hr 11 min,LGA→CHS,American,6:30 PM,8:56 PM,$89,2 hr 26 min
AUS → ORD → NYC → CHS,400,7h 20m,440,AUS→ORD,United,7:00 AM,9:50 AM,$202,2 hr 50 min,ORD→EWR,Spirit,12:47 PM,3:54 PM,$99,2 hr 7 min,LGA→CHS,Delta,7:00 PM,9:23 PM,$99,2 hr 23 min
AUS → ORD → NYC → CHS,400,7h 27m,447,AUS→ORD,United,7:00 AM,9:50 AM,$202,2 hr 50 min,ORD→LGA,Spirit,2:09 PM,5:20 PM,$109,2 hr 11 min,LGA→CHS,American,6:30 PM,8:56 PM,$89,2 hr 26 min
AUS → ORD → NYC → CHS,402,7h 37m,457,AUS→ORD,American,6:42 AM,9:35 AM,$129,2 hr 53 min,ORD→LGA,American,10:02 AM,1:17 PM,$184,2 hr 15 min,LGA→CHS,American,2:04 PM,4:33 PM,$89,2 hr 29 min
AUS → ORD → NYC → CHS,402,7h 34m,454,AUS→ORD,American,6:42 AM,9:35 AM,$129,2 hr 53 min,ORD→LGA,American,10:02 AM,1:17 PM,$184,2 hr 15 min,LGA→CHS,American,6:30 PM,8:56 PM,$89,2 hr 26 min
BNA → ORD → NYC → CHS,404,6h 11m,371,BNA→ORD,United,6:00 AM,7:53 AM,$179,1 hr 53 min,ORD→EWR,Spirit,12:47 PM,3:54 PM,$99,2 hr 7 min,EWR→CHS,United,4:30 PM,6:41 PM,$126,2 hr 11 min
BNA → ORD → NYC → CHS,404,6h 11m,371,BNA→ORD,United,7:35 AM,9:28 AM,$179,1 hr 53 min,ORD→EWR,Spirit,12:47 PM,3:54 PM,$99,2 hr 7 min,EWR→CHS,United,4:30 PM,6:41 PM,$126,2 hr 11 min
AUS → ORD → NYC → CHS,406,7h 42m,462,AUS→ORD,American,6:42 AM,9:35 AM,$129,2 hr 53 min,ORD→EWR,American,10:10 AM,1:30 PM,$188,2 hr 20 min,LGA→CHS,American,2:04 PM,4:33 PM,$89,2 hr 29 min
AUS → ORD → NYC → CHS,406,7h 39m,459,AUS→ORD,American,6:42 AM,9:35 AM,$129,2 hr 53 min,ORD→EWR,American,10:10 AM,1:30 PM,$188,2 hr 20 min,LGA→CHS,American,6:30 PM,8:56 PM,$89,2 hr 26 min
AUS → ORD → NYC → CHS,406,7h 27m,447,AUS→ORD,American,10:56 AM,1:49 PM,$198,2 hr 53 min,ORD→LGA,Spirit,2:09 PM,5:20 PM,$109,2 hr 11 min,LGA→CHS,Delta,7:00 PM,9:23 PM,$99,2 hr 23 min
BNA → ORD → NYC → CHS,407,6h 20m,380,BNA→ORD,American,5:00 AM,6:52 AM,$169,1 hr 52 min,ORD→LGA,American,7:00 AM,10:16 AM,$139,2 hr 16 min,JFK→CHS,JetBlue,2:45 PM,4:57 PM,$99,2 hr 12 min
BNA → ORD → NYC → CHS,407,6h 33m,393,BNA→ORD,American,5:00 AM,6:52 AM,$169,1 hr 52 min,ORD→LGA,American,7:00 AM,10:16 AM,$139,2 hr 16 min,LGA→CHS,Delta,3:50 PM,6:15 PM,$99,2 hr 25 min
BNA → ORD → NYC → CHS,407,6h 31m,391,BNA→ORD,American,5:00 AM,6:52 AM,$169,1 hr 52 min,ORD→LGA,American,7:00 AM,10:16 AM,$139,2 hr 16 min,LGA→CHS,Delta,7:00 PM,9:23 PM,$99,2 hr 23 min
BNA → ORD → NYC → CHS,407,6h 20m,380,BNA→ORD,American,5:00 AM,6:52 AM,$169,1 hr 52 min,ORD→LGA,Delta,7:05 AM,10:21 AM,$139,2 hr 16 min,JFK→CHS,JetBlue,2:45 PM,4:57 PM,$99,2 hr 12 min
BNA → ORD → NYC → CHS,407,6h 33m,393,BNA→ORD,American,5:00 AM,6:52 AM,$169,1 hr 52 min,ORD→LGA,Delta,7:05 AM,10:21 AM,$139,2 hr 16 min,LGA→CHS,Delta,3:50 PM,6:15 PM,$99,2 hr 25 min
BNA → ORD → NYC → CHS,407,6h 31m,391,BNA→ORD,American,5:00 AM,6:52 AM,$169,1 hr 52 min,ORD→LGA,Delta,7:05 AM,10:21 AM,$139,2 hr 16 min,LGA→CHS,Delta,7:00 PM,9:23 PM,$99,2 hr 23 min
BNA → ORD → NYC → CHS,408,6h 24m,384,BNA→ORD,Southwest,11:00 AM,12:50 PM,$200,1 hr 50 min,ORD→LGA,Spirit,2:09 PM,5:20 PM,$109,2 hr 11 min,LGA→CHS,Delta,7:00 PM,9:23 PM,$99,2 hr 23 min
NYC → AUS → BNA → CHS,408,7h 29m,449,EWR→AUS,Spirit,5:30 AM,8:20 AM,$94,3 hr 50 min,AUS→BNA,Delta,8:54 AM,11:08 AM,$119,2 hr 14 min,BNA→CHS,Southwest,7:05 PM,9:30 PM,$195,1 hr 25 min
NYC → AUS → BNA → CHS,408,7h 44m,464,EWR→AUS,Spirit,5:30 AM,8:20 AM,$94,3 hr 50 min,AUS→BNA,Delta,3:11 PM,5:40 PM,$119,2 hr 29 min,BNA→CHS,Southwest,7:05 PM,9:30 PM,$195,1 hr 25 min
AUS → ORD → NYC → CHS,408,7h 24m,444,AUS→ORD,United,8:45 AM,11:36 AM,$220,2 hr 51 min,ORD→EWR,Spirit,12:47 PM,3:54 PM,$99,2 hr 7 min,LGA→CHS,American,6:30 PM,8:56 PM,$89,2 hr 26 min
AUS → ORD → NYC → CHS,410,7h 12m,432,AUS→ORD,United,7:00 AM,9:50 AM,$202,2 hr 50 min,ORD→EWR,Spirit,12:47 PM,3:54 PM,$99,2 hr 7 min,EWR→CHS,United,9:44 PM,11:59 PM,$109,2 hr 15 min
AUS → ORD → NYC → CHS,410,7h 24m,444,AUS→ORD,United,7:00 AM,9:50 AM,$202,2 hr 50 min,ORD→LGA,Spirit,2:09 PM,5:20 PM,$109,2 hr 11 min,LGA→CHS,Delta,7:00 PM,9:23 PM,$99,2 hr 23 min
AUS → ORD → NYC → CHS,412,7h 20m,440,AUS→ORD,American,6:42 AM,9:35 AM,$129,2 hr 53 min,ORD→LGA,American,10:02 AM,1:17 PM,$184,2 hr 15 min,JFK→CHS,JetBlue,2:45 PM,4:57 PM,$99,2 hr 12 min
AUS → ORD → NYC → CHS,412,7h 33m,453,AUS→ORD,American,6:42 AM,9:35 AM,$129,2 hr 53 min,ORD→LGA,American,10:02 AM,1:17 PM,$184,2 hr 15 min,LGA→CHS,Delta,3:50 PM,6:15 PM,$99,2 hr 25 min
AUS → ORD → NYC → CHS,412,7h 31m,451,AUS→ORD,American,6:42 AM,9:35 AM,$129,2 hr 53 min,ORD→LGA,American,10:02 AM,1:17 PM,$184,2 hr 15 min,LGA→CHS,Delta,7:00 PM,9:23 PM,$99,2 hr 23 min
BNA → ORD → NYC → CHS,414,6h 41m,401,BNA→ORD,American,5:00 AM,6:52 AM,$169,1 hr 52 min,ORD→EWR,United,7:00 AM,10:20 AM,$156,2 hr 20 min,LGA→CHS,American,2:04 PM,4:33 PM,$89,2 hr 29 min
BNA → ORD → NYC → CHS,414,6h 38m,398,BNA→ORD,American,5:00 AM,6:52 AM,$169,1 hr 52 min,ORD→EWR,United,7:00 AM,10:20 AM,$156,2 hr 20 min,LGA→CHS,American,6:30 PM,8:56 PM,$89,2 hr 26 min
AUS → ORD → NYC → CHS,416,7h 25m,445,AUS→ORD,American,6:42 AM,9:35 AM,$129,2 hr 53 min,ORD→EWR,American,10:10 AM,1:30 PM,$188,2 hr 20 min,JFK→CHS,JetBlue,2:45 PM,4:57 PM,$99,2 hr 12 min
AUS → ORD → NYC → CHS,416,7h 38m,458,AUS→ORD,American,6:42 AM,9:35 AM,$129,2 hr 53 min,ORD→EWR,American,10:10 AM,1:30 PM,$188,2 hr 20 min,LGA→CHS,Delta,3:50 PM,6:15 PM,$99,2 hr 25 min
AUS → ORD → NYC → CHS,416,7h 36m,456,AUS→ORD,American,6:42 AM,9:35 AM,$129,2 hr 53 min,ORD→EWR,American,10:10 AM,1:30 PM,$188,2 hr 20 min,LGA→CHS,Delta,7:00 PM,9:23 PM,$99,2 hr 23 min
AUS → ORD → NYC → CHS,416,7h 19m,439,AUS→ORD,American,10:56 AM,1:49 PM,$198,2 hr 53 min,ORD→LGA,Spirit,2:09 PM,5:20 PM,$109,2 hr 11 min,EWR→CHS,United,9:44 PM,11:59 PM,$109,2 hr 15 min
BNA → ORD → NYC → CHS,417,6h 23m,383,BNA→ORD,American,5:00 AM,6:52 AM,$169,1 hr 52 min,ORD→LGA,American,7:00 AM,10:16 AM,$139,2 hr 16 min,EWR→CHS,United,9:44 PM,11:59 PM,$109,2 hr 15 min
